review_id,clause_id,clause_x,clause_y,pred_bert,pred_tfidf,pred_agg,pred_tfidf_agg,extra
1,0,они сразу не могли пакет документов проверить?,они сразу не могли пакет документов проверить?,—,,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,1,"неделю общались по электронке три раза заставили переделать каско, ездила в страховую компанию, далее пригласили на сделку (сказали все документы все проверили, все готово приезжайте на подпись).","неделю общались по электронке три раза заставили переделать каско, ездила в страховую компанию, далее пригласили на сделку (сказали все документы все проверили, все готово приезжайте на подпись).",Автокредит: нейтрально | Страхование: нейтрально,"Ипотека, Обслуживание, Страхование","{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,2,"Вместо обещанных 15 мин просидела 2, 5 ч, у меня была назначена встреча, все отложила, далее сказали скорее всего перечислят деньги завтра.","Вместо обещанных 15 мин просидела 2, 5 ч, у меня была назначена встреча, все отложила, далее сказали скорее всего перечислят деньги завтра.",—,Автокредит,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,3,"Наступила завтра вечер– звонят, анкета не та, не там подпись стоит (Предварительно сказали распечатать с сайта их приедете, мы проверим) заполнила– проверили– заверили все ок, не понравилось черточка для подписи не так распечаталась","Наступила завтра вечер– звонят, анкета не та, не там подпись стоит (Предварительно сказали распечатать с сайта их приедете, мы проверим) заполнила– проверили– заверили все ок, не понравилось черточка для подписи не так распечаталась",—,,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,4,уних она распечатывается с сайта таким же образом ни кого это не волнует. !,уних она распечатывается с сайта таким же образом ни кого это не волнует. !,—,,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,5,Далее через день опять не так расписались мое начальство в справках– переделывайте.,Далее через день опять не так расписались мое начальство в справках– переделывайте.,—,,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,6,"ПРи том что срок уже пошел от подписи до предоставления ПТС почти неделя, привезла, проходит еще два дня — звонят!","ПРи том что срок уже пошел от подписи до предоставления ПТС почти неделя, привезла, проходит еще два дня — звонят!",—,Автокредит,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,7,"Приезжайте переподписывать заявление, мы там "" Нолик» не туда поставили и все","Приезжайте переподписывать заявление, мы там "" Нолик» не туда поставили и все",Обслуживание: отрицательно,Обслуживание,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,8,то что я завтра уже уезжаю в командировку и там у меня останется два дня что бы поставить машину на учет,то что я завтра уже уезжаю в командировку и там у меня останется два дня что бы поставить машину на учет,—,,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
1,9,"заверить у нотариуса заявление и привезти через всю Москву черти куда ни кого не волнует! Ужасное отношения, пофигизм!","заверить у нотариуса заявление и привезти через всю Москву черти куда ни кого не волнует! Ужасное отношения, пофигизм!",Обслуживание: отрицательно,Обслуживание,"{'Автокредит': 'нейтрально', 'Страхование': 'нейтрально', 'Обслуживание': 'отрицательно'}","['Автокредит', 'Ипотека', 'Обслуживание', 'Страхование']",['Ипотека']
2,0,"22 сентября под действием мошенников, я обратился в офис банка, находящийся в поселке Энергетик, Оренбургской области за оформлением кредита, который по словам мошенников (которые представились сотрудниками Банка России) мне срочно нужно получить.","22 сентября под действием мошенников, я обратился в офис банка, находящийся в поселке Энергетик, Оренбургской области за оформлением кредита, который по словам мошенников (которые представились сотрудниками Банка России) мне срочно нужно получить.",Потребительский кредит: нейтрально,Потребительский кредит,"{'Потребительский кредит': 'нейтрально', 'Автокредит': 'нейтрально', 'Страхование': 'отрицательно', 'Обслуживание': 'отрицательно', 'Другое': 'нейтрально'}","['Автокредит', 'Денежные переводы', 'Дистанционное обслуживание', 'Другое', 'Обслуживание', 'Потребительский кредит', 'Страхование']","['Денежные переводы', 'Дистанционное обслуживание']"
2,1,"я постоянно оставался на связи с мошенниками и действовал по их инструкции, что не смутило сотрудника банка","я постоянно оставался на связи с мошенниками и действовал по их инструкции, что не смутило сотрудника банка",—,Обслуживание,"{'Потребительский кредит': 'нейтрально', 'Автокредит': 'нейтрально', 'Страхование': 'отрицательно', 'Обслуживание': 'отрицательно', 'Другое': 'нейтрально'}","['Автокредит', 'Денежные переводы', 'Дистанционное обслуживание', 'Другое', 'Обслуживание', 'Потребительский кредит', 'Страхование']","['Денежные переводы', 'Дистанционное обслуживание']"
2,2,что наводит на мысли о преступном сговоре.,что наводит на мысли о преступном сговоре.,—,Дистанционное обслуживание,"{'Потребительский кредит': 'нейтрально', 'Автокредит': 'нейтрально', 'Страхование': 'отрицательно', 'Обслуживание': 'отрицательно', 'Другое': 'нейтрально'}","['Автокредит', 'Денежные переводы', 'Дистанционное обслуживание', 'Другое', 'Обслуживание', 'Потребительский кредит', 'Страхование']","['Денежные переводы', 'Дистанционное обслуживание']"
2,3,"Сотрудница оформила автокредит (Номер договора - 29******15/23) на 7 лет в сумме 1 миллион 84 тысячи, из которых страховку на 281 тысячу рублей и подписку на мультисервис интерактив плюс.","Сотрудница оформила автокредит (Номер договора - 29******15/23) на 7 лет в сумме 1 миллион 84 тысячи, из которых страховку на 281 тысячу рублей и подписку на мультисервис интерактив плюс.",Автокредит: нейтрально | Страхование: нейтрально,"Автокредит, Другое, Страхование","{'Потребительский кредит': 'нейтрально', 'Автокредит': 'нейтрально', 'Страхование': 'отрицательно', 'Обслуживание': 'отрицательно', 'Другое': 'нейтрально'}","['Автокредит', 'Денежные переводы', 'Дистанционное обслуживание', 'Другое', 'Обслуживание', 'Потребительский кредит', 'Страхование']","['Денежные переводы', 'Дистанционное обслуживание']"
2,4,Подписка и страховка были тут же списаны со счета.,Подписка и страховка были тут же списаны со счета.,Страхование: отрицательно,"Другое, Страхование","{'Потребительский кредит': 'нейтрально', 'Автокредит': 'нейтрально', 'Страхование': 'отрицательно', 'Обслуживание': 'отрицательно', 'Другое': 'нейтрально'}","['Автокредит', 'Денежные переводы', 'Дистанционное обслуживание', 'Другое', 'Обслуживание', 'Потребительский кредит', 'Страхование']","['Денежные переводы', 'Дистанционное обслуживание']"
2,5,"Моя жена, поняв, что я попался на удочку мошенников, успела обратиться в полицию","Моя жена, поняв, что я попался на удочку мошенников, успела обратиться в полицию",—,,"{'Потребительский кредит': 'нейтрально', 'Автокредит': 'нейтрально', 'Страхование': 'отрицательно', 'Обслуживание': 'отрицательно', 'Другое': 'нейтрально'}","['Автокредит', 'Денежные переводы', 'Дистанционное обслуживание', 'Другое', 'Обслуживание', 'Потребительский кредит', 'Страхование']","['Денежные переводы', 'Дистанционное обслуживание']"
2,6,я не успел перевести эти деньги мошенникам.,я не успел перевести эти деньги мошенникам.,—,Денежные переводы,"{'Потребительский кредит': 'нейтрально', 'Автокредит': 'нейтрально', 'Страхование': 'отрицательно', 'Обслуживание': 'отрицательно', 'Другое': 'нейтрально'}","['Автокредит', 'Денежные переводы', 'Дистанционное обслуживание', 'Другое', 'Обслуживание', 'Потребительский кредит', 'Страхование']","['Денежные переводы', 'Дистанционное обслуживание']"
2,7,"т.к. это был вечер пятницы, в офис мы смогли попасть только в понедельник 25 сентября, где объяснив всю ситуацию, попросили аннулировать кредит, т.к. ни рубля не было потрачено.","т.к. это был вечер пятницы, в офис мы смогли попасть только в понедельник 25 сентября, где объяснив всю ситуацию, попросили аннулировать кредит, т.к. ни рубля не было потрачено.",Потребительский кредит: нейтрально,Потребительский кредит,"{'Потребительский кредит': 'нейтрально', 'Автокредит': 'нейтрально', 'Страхование': 'отрицательно', 'Обслуживание': 'отрицательно', 'Другое': 'нейтрально'}","['Автокредит', 'Денежные переводы', 'Дистанционное обслуживание', 'Другое', 'Обслуживание', 'Потребительский кредит', 'Страхование']","['Денежные переводы', 'Дистанционное обслуживание']"
2,8,Где были посланы сотрудницей самим разбираться со своими проблемами.,Где были посланы сотрудницей самим разбираться со своими проблемами.,Обслуживание: отрицательно,Обслуживание,"{'Потребительский кредит': 'нейтрально', 'Автокредит': 'нейтрально', 'Страхование': 'отрицательно', 'Обслуживание': 'отрицательно', 'Другое': 'нейтрально'}","['Автокредит', 'Денежные переводы', 'Дистанционное обслуживание', 'Другое', 'Обслуживание', 'Потребительский кредит', 'Страхование']","['Денежные переводы', 'Дистанционное обслуживание']"
2,9,Вернуть подписки или оказать какую-то помощь по возврату тоже.,Вернуть подписки или оказать какую-то помощь по возврату тоже.,Другое: нет темы,Другое,"{'Потребительский кредит': 'нейтрально', 'Автокредит': 'нейтрально', 'Страхование': 'отрицательно', 'Обслуживание': 'отрицательно', 'Другое': 'нейтрально'}","['Автокредит', 'Денежные переводы', 'Дистанционное обслуживание', 'Другое', 'Обслуживание', 'Потребительский кредит', 'Страхование']","['Денежные переводы', 'Дистанционное обслуживание']"
2,10,"Считаю, что сотрудник, даже если и небыл в сговоре с мошенниками","Считаю, что сотрудник, даже если и небыл в сговоре с мошенниками",Обслуживание: отрицательно,Обслуживание,"{'Потребительский кредит': 'нейтрально', 'Автокредит': 'нейтрально', 'Страхование': 'отрицательно', 'Обслуживание': 'отрицательно', 'Другое': 'нейтрально'}","['Автокредит', 'Денежные переводы', 'Дистанционное обслуживание', 'Другое', 'Обслуживание', 'Потребительский кредит', 'Страхование']","['Денежные переводы', 'Дистанционное обслуживание']"
2,11,явно воспользовался моим беспомощным состоянием и навязал всевозможные услуги.,явно воспользовался моим беспомощным состоянием и навязал всевозможные услуги.,—,Другое,"{'Потребительский кредит': 'нейтрально', 'Автокредит': 'нейтрально', 'Страхование': 'отрицательно', 'Обслуживание': 'отрицательно', 'Другое': 'нейтрально'}","['Автокредит', 'Денежные переводы', 'Дистанционное обслуживание', 'Другое', 'Обслуживание', 'Потребительский кредит', 'Страхование']","['Денежные переводы', 'Дистанционное обслуживание']"
3,0,"Присмотрел себе автомобиль, решил взять автокредит в этом банке, оплата за авто была наличными.","Присмотрел себе автомобиль, решил взять автокредит в этом банке, оплата за авто была наличными.",Автокредит: нейтрально,Автокредит,"{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,1,Начинаю звонить в КЦ с целью выяснить как можно обналичить средства без комиссии.,Начинаю звонить в КЦ с целью выяснить как можно обналичить средства без комиссии.,Дистанционное обслуживание: нейтрально,Дистанционное обслуживание,"{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,2,Сначала девушка на том конце провода ответила,Сначала девушка на том конце провода ответила,Дистанционное обслуживание: нейтрально,"Дистанционное обслуживание, Обслуживание","{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,3,что снятие возможно в банкоматах Газпромбанка без комиссии в сумме до 1 миллиона рублей.,что снятие возможно в банкоматах Газпромбанка без комиссии в сумме до 1 миллиона рублей.,Денежные переводы: положительно,"Вклады, Дебетовая карта, Денежные переводы, Ипотека","{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,4,"Чуть позже перезвонил, ответил оператор Иван, который у меня спросил, каким способом было зачисление на карту, когда я сказал, что это кредит, то он ответил, что переживать не стоит, поскольку средства кредитные","Чуть позже перезвонил, ответил оператор Иван, который у меня спросил, каким способом было зачисление на карту, когда я сказал, что это кредит, то он ответил, что переживать не стоит, поскольку средства кредитные",Потребительский кредит: нейтрально,Потребительский кредит,"{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,5,"то банк не будет взымать комиссию за снятие наличных средства В ЛЮБОМ БАНКОМАТЕ СЕТИ, НЕЗАВИСИМО ОТ СУММЫ.","то банк не будет взымать комиссию за снятие наличных средства В ЛЮБОМ БАНКОМАТЕ СЕТИ, НЕЗАВИСИМО ОТ СУММЫ.",—,"Денежные переводы, Потребительский кредит","{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,6,"Поверив Ивану, отправляемся с продавцом в ближайший банкомат Газпромбанка, первая попытка оказалась неуспешной, в банкомате не было денег.","Поверив Ивану, отправляемся с продавцом в ближайший банкомат Газпромбанка, первая попытка оказалась неуспешной, в банкомате не было денег.",—,Денежные переводы,"{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,7,"Приезжаем в офис на другом конце города, вставляем карту - облом и тут, денег нет.","Приезжаем в офис на другом конце города, вставляем карту - облом и тут, денег нет.",Обслуживание: отрицательно,"Дебетовая карта, Обслуживание","{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,8,тут видим на банкомате наклейку о том,тут видим на банкомате наклейку о том,—,"Дебетовая карта, Денежные переводы, Дистанционное обслуживание","{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,9,что возможно снятие наличных средств в банкоматах ПАРТНЕРСКОЙ СЕТИ и перечислен список банков.,что возможно снятие наличных средств в банкоматах ПАРТНЕРСКОЙ СЕТИ и перечислен список банков.,Дебетовая карта: нейтрально,"Дебетовая карта, Денежные переводы","{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,10,"Вспоминаю, что о бесплатном снятии наличных по сети мне говорил Иван","Вспоминаю, что о бесплатном снятии наличных по сети мне говорил Иван",Денежные переводы: положительно,"Денежные переводы, Кредитная карта","{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,11,"как раз в соседнем доме находился офис Райффайзенбанка, логотип которого красовался среди других на банкомате Газпрома, в той самой партнерской сети, выбор пал на него.","как раз в соседнем доме находился офис Райффайзенбанка, логотип которого красовался среди других на банкомате Газпрома, в той самой партнерской сети, выбор пал на него.",—,Денежные переводы,"{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,12,"На банкомате Райффайзена также стоит табличка о возможности снятия средств от партнеров сети без комиссии, среди которых был и Газпромбанк.","На банкомате Райффайзена также стоит табличка о возможности снятия средств от партнеров сети без комиссии, среди которых был и Газпромбанк.",Денежные переводы: положительно,"Дебетовая карта, Денежные переводы","{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,13,Провели 2 операции снятия 1 на сумму 300 тысяч рублей и вторая на 495 тысяч рубей.,Провели 2 операции снятия 1 на сумму 300 тысяч рублей и вторая на 495 тысяч рубей.,Денежные переводы: нейтрально,"Дебетовая карта, Денежные переводы","{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,14,После чего смотрю на телефон и поступают 2 смс о том что было обналичено 302000 и 499950.,После чего смотрю на телефон и поступают 2 смс о том что было обналичено 302000 и 499950.,—,"Денежные переводы, Дистанционное обслуживание","{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,15,"Смотря на суммы понимаю, что банк снял комиссию с первой суммы выдачи -2000 рублей, со второй 4950 рублей.","Смотря на суммы понимаю, что банк снял комиссию с первой суммы выдачи -2000 рублей, со второй 4950 рублей.",—,"Денежные переводы, Кредитная карта","{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,16,"На экране банкомата не было информации о размере комиссии и о том, что она вообще будет, что, безусловно","На экране банкомата не было информации о размере комиссии и о том, что она вообще будет, что, безусловно",—,Денежные переводы,"{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
3,17,повлияло бы на мое решение о снятии наличных средств.,повлияло бы на мое решение о снятии наличных средств.,—,"Денежные переводы, Потребительский кредит","{'Автокредит': 'нейтрально', 'Дистанционное обслуживание': 'нейтрально', 'Денежные переводы': 'положительно', 'Потребительский кредит': 'нейтрально', 'Обслуживание': 'отрицательно', 'Дебетовая карта': 'нейтрально'}","['Автокредит', 'Вклады', 'Дебетовая карта', 'Денежные переводы', 'Дистанционное обслуживание', 'Ипотека', 'Кредитная карта', 'Обслуживание', 'Потребительский кредит']","['Вклады', 'Кредитная карта', 'Ипотека']"
